audit-api-1  | [audit-api] starting on port 8300
audit-api-1  |  * Serving Flask app 'app'
audit-api-1  |  * Debug mode: off
audit-api-1  | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
audit-api-1  |  * Running on all addresses (0.0.0.0)
audit-api-1  |  * Running on http://127.0.0.1:8300
audit-api-1  |  * Running on http://172.23.0.3:8300
audit-api-1  | [33mPress CTRL+C to quit[0m
audit-api-1  | 127.0.0.1 - - [05/May/2026 16:25:21] "GET /health HTTP/1.1" 200 -
audit-api-1  | 127.0.0.1 - - [05/May/2026 16:25:32] "GET /health HTTP/1.1" 200 -
audit-api-1  | 127.0.0.1 - - [05/May/2026 16:25:43] "GET /health HTTP/1.1" 200 -
audit-api-1  | 127.0.0.1 - - [05/May/2026 16:25:54] "GET /health HTTP/1.1" 200 -
audit-api-1  | 127.0.0.1 - - [05/May/2026 16:26:05] "GET /health HTTP/1.1" 200 -
audit-api-1  | 127.0.0.1 - - [05/May/2026 16:26:16] "GET /health HTTP/1.1" 200 -
audit-api-1  | 127.0.0.1 - - [05/May/2026 16:26:27] "GET /health HTTP/1.1" 200 -
audit-api-1  | 172.23.0.1 - - [05/May/2026 16:26:28] "GET /health HTTP/1.1" 200 -
audit-api-1  | 127.0.0.1 - - [05/May/2026 16:26:38] "GET /health HTTP/1.1" 200 -
audit-api-1  | 127.0.0.1 - - [05/May/2026 16:26:49] "GET /health HTTP/1.1" 200 -
audit-api-1  | 172.23.0.1 - - [05/May/2026 16:26:52] "GET /audits HTTP/1.1" 200 -
audit-api-1  | 172.23.0.1 - - [05/May/2026 16:26:52] "GET /audits/summary HTTP/1.1" 200 -
audit-api-1  | 172.23.0.1 - - [05/May/2026 16:26:52] "GET /audits/demo-valid-001 HTTP/1.1" 200 -
