=== DIAGNÓSTICO: Logs do transformer (broken-v2) ===
transformer-1  | [transformer] starting on port 8100 version=broken-v2
transformer-1  |  * Serving Flask app 'app'
transformer-1  |  * Debug mode: off
transformer-1  | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
transformer-1  |  * Running on all addresses (0.0.0.0)
transformer-1  |  * Running on http://127.0.0.1:8100
transformer-1  |  * Running on http://172.23.0.4:8100
transformer-1  | [33mPress CTRL+C to quit[0m
transformer-1  | 127.0.0.1 - - [05/May/2026 16:27:44] "GET /health HTTP/1.1" 200 -
transformer-1  | 127.0.0.1 - - [05/May/2026 16:27:55] "GET /health HTTP/1.1" 200 -
transformer-1  | 127.0.0.1 - - [05/May/2026 16:28:05] "GET /health HTTP/1.1" 200 -
transformer-1  | 127.0.0.1 - - [05/May/2026 16:28:16] "GET /health HTTP/1.1" 200 -
transformer-1  | 127.0.0.1 - - [05/May/2026 16:28:26] "GET /health HTTP/1.1" 200 -
transformer-1  | 127.0.0.1 - - [05/May/2026 16:28:36] "GET /health HTTP/1.1" 200 -
transformer-1  | 127.0.0.1 - - [05/May/2026 16:28:47] "GET /health HTTP/1.1" 200 -
transformer-1  | 127.0.0.1 - - [05/May/2026 16:28:57] "GET /health HTTP/1.1" 200 -
transformer-1  | 127.0.0.1 - - [05/May/2026 16:29:08] "GET /health HTTP/1.1" 200 -
transformer-1  | 127.0.0.1 - - [05/May/2026 16:29:18] "GET /health HTTP/1.1" 200 -
transformer-1  | 127.0.0.1 - - [05/May/2026 16:29:29] "GET /health HTTP/1.1" 200 -
transformer-1  | 127.0.0.1 - - [05/May/2026 16:29:39] "GET /health HTTP/1.1" 200 -
transformer-1  | 127.0.0.1 - - [05/May/2026 16:29:49] "GET /health HTTP/1.1" 200 -
transformer-1  | 127.0.0.1 - - [05/May/2026 16:30:00] "GET /health HTTP/1.1" 200 -
transformer-1  | 127.0.0.1 - - [05/May/2026 16:30:10] "GET /health HTTP/1.1" 200 -
transformer-1  | 127.0.0.1 - - [05/May/2026 16:30:21] "GET /health HTTP/1.1" 200 -
